BIO Studiestart,5000 - Det Natur- og Biovidenskabelige Fakultet,%23SPLUS80970B
5230-B4-4F18;MolekylÃ¦r Statistik,5230 - Kemisk Institut,76589
5010-B2-2E17;LineÃ¦r algebra i de matematiske fag (LinAlgMat),5010 - Institut for Matematiske Fag,72494
5010-B3/B4-Operatoralgebra seminar,5010 - Institut for Matematiske Fag,93305%2DB3
3300-Mdt Eksam FSV,3300 - Institut for Folkesundhed,%23SPLUS1887B8
9499-F18-DIS,IBT-9499 - DIS,%23SPLUS540B80
2600-E17-Psykologi,2600 - Institut for Psykologi 2600,%23SPLUS0202DB
2400-Ph.d. forsvar,2400 - Institut for antropologi,%23SPLUSCBB70C
3300-Studievejledningen/studienÃ¦vn FSV,3300 - Institut for Folkesundhed,%23SPLUS05D3F3
9000-F-Andre Eksterne,IBT-9000 - Ekstern diverse,%23SPLUS9312E9
2200-F18-Ã˜konomi,2200 - Ã˜konomisk Institut,%23SPLUS29DAA7
5070-B1-1E16;Klimatilpasning og planlÃ¦gning,5070 - Institut for Geovidenskab og Naturforvaltning,63789
5070-B1-1E16;Planteanvendelse,5070 - Institut for Geovidenskab og Naturforvaltning,63790
5070-B1-1E17;Biodiversity in Urban Nature,5070 - Institut for Geovidenskab og Naturforvaltning,72848
5480-B2-2E17;Applied Economics of Forest and Nature,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,72373
5070-B2-2E17;Theories of Urban Planning and Governance,5070 - Institut for Geovidenskab og Naturforvaltning,72594
5480-B2-2E17;Rural Livelihoods and Natural Resources Governance,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,72568
5070-B2-2E17;Nature Perception - Theories and Methods for Investigation,5070 - Institut for Geovidenskab og Naturforvaltning,72531
5070-B2-2E17;Rural Landscapes: Methods and Approaches in Policy Making,5070 - Institut for Geovidenskab og Naturforvaltning,72567
5070-B2-2E17;Naturressourcer: forvaltning og Ã¸konomi,5070 - Institut for Geovidenskab og Naturforvaltning,72533
"5480-B2-2E17;Tema: Natur, miljÃ¸ og samfund",5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,72588
5480-B2-2E17;Conflict Management,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,72406
5070-B1-1E17;Theories of Urban Design,5070 - Institut for Geovidenskab og Naturforvaltning,73043
5070-B1-1E17;Thematic Course: Ecology and Management of Forests and other Semi-natural Terrestrial Ecosystems,5070 - Institut for Geovidenskab og Naturforvaltning,73039
"5070-B1-1E17;Urban Ecosystems: Structures, Functions and Designs",5070 - Institut for Geovidenskab og Naturforvaltning,73051
5480-B1-1E17;Natur- og landskabspolitik,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,72972
5480-B1-1E17;Research Planning,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,73016
5480-B1-1E17;Qualitative Methods in Agricultural Development,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,73011
5520-B2-2E17;Enzymology and Experimental Biochemistry,5520 - Institut for FÃ¸devarevidenskab,72432
5440-B2-2E17;MiljÃ¸kemi i biologiske systemer,5440 - Institut for Plante- og MiljÃ¸videnskab,72519
5230-B2-2E17;Almen Kemi for biovidenskab,5230 - Kemisk Institut,72367
5030-B2-2E16;Biofysik,5030 - Niels Bohr Institutet,62130
5010-B1-1E17;Statistisk dataanalyse 1,5010 - Institut for Matematiske Fag,73027
5010-B1-1E17;Matematik og databehandling,5010 - Institut for Matematiske Fag,72958
5520-B1-1E17;Biokemi 1,5520 - Institut for FÃ¸devarevidenskab,72853
5440-B2-2E17;Applied Microbiology,5440 - Institut for Plante- og MiljÃ¸videnskab,72374
5440-B1-1E17;Genome and Cell Biology,5440 - Institut for Plante- og MiljÃ¸videnskab,72909
5520-B2-2E16;Advanced Chemometrics,5520 - Institut for FÃ¸devarevidenskab,62234
5520-B2-2E17;Control of Foodborne Microorganisms,5520 - Institut for FÃ¸devarevidenskab,72412
5520-B1-1E17;Design of Experiments and Optimization,5520 - Institut for FÃ¸devarevidenskab,72874
5410-B1-1E17;Nutrition Physiology,5410 - Institut for IdrÃ¦t og ErnÃ¦ring,72977
5070-B2-2E17;Agroforestry,5070 - Institut for Geovidenskab og Naturforvaltning,72363
"5410-B2-2E17;Evidence, Diet and Health",5410 - Institut for IdrÃ¦t og ErnÃ¦ring,72434
"5410-B1-1E17;Nutrition, Growth, and Development",5410 - Institut for IdrÃ¦t og ErnÃ¦ring,72979
5480-B2-2E17;MikroÃ¸konomi,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,72514
5480-B2-2E17;Animals in Society,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,72371
5480-B2-2E17;Fagets videnskabsteori - landskabsarkitektur og bydesign,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,72439
5480-B1-1E17;Applied Econometrics,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,72834
5440-B2-2E17;From Plants to Bioenergy,5440 - Institut for Plante- og MiljÃ¸videnskab,72443
5440-B1-1E17;Tropical Crop Production,5440 - Institut for Plante- og MiljÃ¸videnskab,73047
5440-B1-1E17;Introduktion til bioteknologi,5440 - Institut for Plante- og MiljÃ¸videnskab,72936
5440-B2-2E17;Molecular Plant-Microbe Interactions,5440 - Institut for Plante- og MiljÃ¸videnskab,72524
5440-B2-2E17;GrundlÃ¦ggende plantebiologi,5440 - Institut for Plante- og MiljÃ¸videnskab,72460
5440-B1-1E17;Frontiers in Plant Science,5440 - Institut for Plante- og MiljÃ¸videnskab,72899
5410-Master-uddannelsen i IdrÃ¦t og VelfÃ¦rd,5410 - Institut for IdrÃ¦t og ErnÃ¦ring,%23SPLUSB822FF
5550-B3-3F18;Social Behaviour and Communication,5550 - Biologisk Institut,76380
5550-B3-3F18;Basal arktisk biologi,5550 - Biologisk Institut,76196
5550-B4-4F18;Archaea Biology,5550 - Biologisk Institut,76473
5550-B4-4F18;Terrestrial Ecosystem Processes and Global Change,5550 - Biologisk Institut,76639
5550-B4-4F18;Invasion Biology,5550 - Biologisk Institut,76555
5550-B3-3F18;Experimental Design and Statistical Methods in Biology,5550 - Biologisk Institut,76237
5550-B3-3F18;Cellular and Integrative Physiology,5550 - Biologisk Institut,76211
5550-B4-4F18;Arctic Biology,5550 - Biologisk Institut,76474
5550-B3-3F18;Medical Bacteriology,5550 - Biologisk Institut,76304
5550-B4-4F18;Cellebiologi for biokemikere,5550 - Biologisk Institut,76487
5550-B3-3F18;Proteinvidenskab og enzymteknologi,5550 - Biologisk Institut,76365
5550-B4-4F18;Projektkursus: Biokemi,5550 - Biologisk Institut,76618
5030-B4-4F18;Steady ocean circulation,5030 - Niels Bohr Institutet,76634
5030-B3-3F18;Radioactive Isotopes and Ionizing Radiation,5030 - Niels Bohr Institutet,76371
5410-B4-4F18;Motorisk udvikling og indlÃ¦ring,5410 - Institut for IdrÃ¦t og ErnÃ¦ring,76590
5410-B4-4F18;Klinisk bÃ¸rneernÃ¦ring,5410 - Institut for IdrÃ¦t og ErnÃ¦ring,76559
5410-B3-3F18;IdrÃ¦tspsykologi og identitet,5410 - Institut for IdrÃ¦t og ErnÃ¦ring,76270
5410-B4-4F18;Udvalgte mÃ¥lgrupper i idrÃ¦t - idrÃ¦tsspecialisering,5410 - Institut for IdrÃ¦t og ErnÃ¦ring,76650
5100-B4-4F18;Applied Programming,5100 - Datalogisk Institut,76471
5100-B3-3F18;Web Science,5100 - Datalogisk Institut,76405
5100-B3-4F18;Sundheds IT- System udvikling og Databaser,5100 - Datalogisk Institut,76702
5100-B4-4F18;Projekt i menneske-datamaskine interakt. eller it.,5100 - Datalogisk Institut,77324
5070-B4-4F18;Beplantningsdesign,5070 - Institut for Geovidenskab og Naturforvaltning,76477
5070-B3-3F18;Geographical Information Systems (GIS),5070 - Institut for Geovidenskab og Naturforvaltning,76248
"5070-B3-3F17;Land Use, Element Balances and Environmental Impact",5070 - Institut for Geovidenskab og Naturforvaltning,65579
5070-B4-4F18;Tropical Forest Restoration,5070 - Institut for Geovidenskab og Naturforvaltning,76647
5070-B4-4F18;Energy Systems and Climate Mitigation,5070 - Institut for Geovidenskab og Naturforvaltning,76510
5070-B4-4F18;Landscape Film,5070 - Institut for Geovidenskab og Naturforvaltning,76563
5070-B4-4F18;Human Adaptation to Climate Change and Variability,5070 - Institut for Geovidenskab og Naturforvaltning,76538
5070-B3-4F18;Bachelorvirksomhedsprojekt i landskabsarkitektur,5070 - Institut for Geovidenskab og Naturforvaltning,76704
5070-B4-4F18;Conservation and Management of Genetic Resources,5070 - Institut for Geovidenskab og Naturforvaltning,76492
5070-B3-3F17;Remote Sensing Seminar and Project Work,5070 - Institut for Geovidenskab og Naturforvaltning,65582
5070-B3-3F18;Klimatologi og hydrologi,5070 - Institut for Geovidenskab og Naturforvaltning,76287
5070-B3-3F18;By og regional udvikling,5070 - Institut for Geovidenskab og Naturforvaltning,76208
"5070-B4-4F17;Fluid-Rock Interactions, Applied Mineralogy and Mineral Resources",5070 - Institut for Geovidenskab og Naturforvaltning,65800
5070-B4-4F18;Danmarks og Nordatlantens geologiske udvikling,5070 - Institut for Geovidenskab og Naturforvaltning,76498
5070-B3-3F17;Human Movement in Urban and Rural Landscapes,5070 - Institut for Geovidenskab og Naturforvaltning,65581
5070-B3-3F18;Outdoor Recreation - Planning and Management,5070 - Institut for Geovidenskab og Naturforvaltning,76329
5070-B4-4F18;VVM i praksis,5070 - Institut for Geovidenskab og Naturforvaltning,76656
"5070-B3-3F18;TRÃ†: Opbygning, Identifikation, Egenskaber",5070 - Institut for Geovidenskab og Naturforvaltning,76398
5070-B4-4F18;Temakursus IIB: Rurale landskaber - forvaltning og planlÃ¦gning,5070 - Institut for Geovidenskab og Naturforvaltning,76637
5070-B3-3F18;PlanlÃ¦gning af by og land: AktÃ¸rer og processer,5070 - Institut for Geovidenskab og Naturforvaltning,76337
5070-B3-3F18;Introduktion til Remote Sensing - Satellitbaseret kortlÃ¦gning af naturressourcer,5070 - Institut for Geovidenskab og Naturforvaltning,76283
5070-B4-4F18;Thematic course II: Rural Landscape - Management and Planning,5070 - Institut for Geovidenskab og Naturforvaltning,76643
5010-B3-3F17;Modeling Dependence in Discrete Time,5010 - Institut for Matematiske Fag,65606
5010-B4-4F18;Project in Statistics,5010 - Institut for Matematiske Fag,76617
5010-B4-4F18;Matematik og modeller,5010 - Institut for Matematiske Fag,76578
5010-B3-3F17;Statistisk dataanalyse 2,5010 - Institut for Matematiske Fag,65601
5010-B4-4F18;Theoretical Statictics,5010 - Institut for Matematiske Fag,76638
5010-B3-3F18;Regression,5010 - Institut for Matematiske Fag,76372
5290-B3-3F17;KvartÃ¦rtidens Naturhistorie,5290 - Statens Naturhistoriske Museum,65629
"5230-B4-4F18;Makromolekyler, cofaktorer og metalioner og deres kemi i biologiske systemer",5230 - Kemisk Institut,76575
"5230-B3-3F18;Forskningspraktik i kemi, ForskPrak",5230 - Kemisk Institut,76244
"5230-B4-4F18;Forskningspraktik i kemi, ForskPrak",5230 - Kemisk Institut,76526
5520-B4-4F18;Advanced Food Chemistry,5520 - Institut for FÃ¸devarevidenskab,76446
5520-B3-3F18;RÃ¥varekvalitet,5520 - Institut for FÃ¸devarevidenskab,76374
5520-B4-4F17;Yeast Physiology and Applications,5520 - Institut for FÃ¸devarevidenskab,65729
5520-B3-3F18;Brewing Project in Practise,5520 - Institut for FÃ¸devarevidenskab,76206
5520-B4-4F18;Brewing Project in Practise,5520 - Institut for FÃ¸devarevidenskab,76486
5480-B4-4F18;SamfundsÃ¸konomi,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76625
5480-B3-3F18;Motivation and Pro-Environmental Behaviour - Managing Change,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76315
5480-B4-4F18;Entrepreneurship and Innovation,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76511
5480-B3-3F18;International Economics,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76277
5480-B4-4F18;Forvaltningsret,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76527
"5480-B3-3F18;EU Law - Environment, Agriculture & Food",5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76234
5480-B3-3F18;Environmental and Natural Resource Economics,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76233
5480-B3-3F18;Incentives and Regulation,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76272
5480-B4-4F18;Development Economics,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76500
5480-B4-4F18;Climate Change and Forestry: Monitoring and Policies,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76489
5480-B3-3F18;Business Development and Innovation,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76207
5480-B4-4F18;Topics in Development Studies,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76645
5480-B3-3F18;Ã˜konometri,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76408
5480-B3-3F18;Sustainable Tropical Forestry Summer School,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76387
5480-B3-3F18;ProduktionsÃ¸konomi,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76356
5480-B3-3F18;Preparing Field Work in the Tropics,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76344
5480-B4-4F18;Anvendt spilteori,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76466
5480-B4-4F18;Location Specific Knowledge and Fieldwork in Temperate Forest and Nature Management,5480 - Institut for FÃ¸devare- og RessourceÃ¸konomi,76571
5440-B3-3F18;Applied Agrohydrology,5440 - Institut for Plante- og MiljÃ¸videnskab,76191
5440-B4-4F18;Vildtbiologi og -forvaltning,5440 - Institut for Plante- og MiljÃ¸videnskab,76655
5440-B3-3F18;Plant Breeding,5440 - Institut for Plante- og MiljÃ¸videnskab,76339
5440-B4-4F18;Applied Cool Climate Viticulture and Enology,5440 - Institut for Plante- og MiljÃ¸videnskab,76467
5440-B4-4F18;Cool Climate Viticulture and Enology,5440 - Institut for Plante- og MiljÃ¸videnskab,76493
5440-B3-3F18;Analytical Chemistry,5440 - Institut for Plante- og MiljÃ¸videnskab,76188
5440-B4-4F18;MolekylÃ¦r genetik,5440 - Institut for Plante- og MiljÃ¸videnskab,76588
5440-B4-4F18;Genetik,5440 - Institut for Plante- og MiljÃ¸videnskab,76532
5440-B4-4F18;Faunaens vilkÃ¥r i kulturlandskabet,5440 - Institut for Plante- og MiljÃ¸videnskab,76518
5440-B3-3F18;Human Benefits from Insects,5440 - Institut for Plante- og MiljÃ¸videnskab,76265
5440-B3-3F18;Biokemi 2,5440 - Institut for Plante- og MiljÃ¸videnskab,76203
5440-B4-4F18;Botanik,5440 - Institut for Plante- og MiljÃ¸videnskab,76484
5440-B4-4F17;Weed Biology and Management,5440 - Institut for Plante- og MiljÃ¸videnskab,65862
5440-B4-4F18;Life Cycle Assessment within Biological Production Systems,5440 - Institut for Plante- og MiljÃ¸videnskab,76567
5440-B4-4F18;Intellectual Property Rights,5440 - Institut for Plante- og MiljÃ¸videnskab,76548
5440-B4-4F18;TrÃ¦er og buske,5440 - Institut for Plante- og MiljÃ¸videnskab,76648
5440-B3-3F18;Mikrobiologi,5440 - Institut for Plante- og MiljÃ¸videnskab,76309
3915-B3-3F18;VeterinÃ¦r genetik,3915 - BSc + MSc VeterinÃ¦r Medicin,75375
3915-B3-3F18;Basal klinisk teori hos store husdyr,3915 - BSc + MSc VeterinÃ¦r Medicin,75378
3915-B3-3F18;Basal statistik og epidemiologi,3915 - BSc + MSc VeterinÃ¦r Medicin,75376
3915-B4-4F18;Mikrobiel fÃ¸devaresikkerhed,3915 - BSc + MSc VeterinÃ¦r Medicin,75379
3934-F18;Advanced Empirical Health Economics,3934 - BSc + MSc Folkesundhedsvidenskab,74558
3934-F18;Sundhedssociologi,3934 - BSc + MSc Folkesundhedsvidenskab,74619
3300-F18-Sundhedstjenesteforskning,3300 - Institut for Folkesundhed,%23SPLUSC0AF21
KÃ¸benhavns Amts Biavlerforening,5000 - Det Natur- og Biovidenskabelige Fakultet,%23SPLUS8E3347
3915-B3-4F18;One Health,3915 - BSc + MSc VeterinÃ¦r Medicin,74478
1000-F18;SK - Kierkegaard: The Individual in the Global Society (Summer Course),1000 - Det Teologiske Fakultet,77755
Renovering - SCS og SPP,5000 - Det Natur- og Biovidenskabelige Fakultet,%23SPLUSA7EA8E
"2435-E17;22,5 ECTS Academic internship",2435 - StudienÃ¦vnet for Global Udvikling,73715
6000-F18;Juridisk foretagsomhed og ivÃ¦rksÃ¦tteri,6000 - Det Juridiske Fakultet,76055
6000-F18-Speciale,6000 - Det Juridiske Fakultet,%23SPLUS67F913
2500-F18-Forskningskollektivet Sociologi,2500 - Sociologisk Institut,%23SPLUSE83E70
2200-F-Studenter Ã˜konomi,2200 - Ã˜konomisk Institut,%23SPLUSE83E15
6000-F18;Lejeret,6000 - Det Juridiske Fakultet,75955
6000-E17;EU Intellectual Property Law,6000 - Det Juridiske Fakultet,71607
6000-E17;Tingsret,6000 - Det Juridiske Fakultet,71677
6000-E17;Retshistorie,6000 - Det Juridiske Fakultet,71676
6000-E17;Institutionel forfatningsret og EU-forfatningsret,6000 - Det Juridiske Fakultet,71675
6000-E17;International Law,6000 - Det Juridiske Fakultet,71674
6000-E17;UdlÃ¦ndingeret,6000 - Det Juridiske Fakultet,71673
6000-E17;Terror og ret,6000 - Det Juridiske Fakultet,71672
6000-E17;Sundhedsret,6000 - Det Juridiske Fakultet,71671
6000-E17;Straffeprocesret,6000 - Det Juridiske Fakultet,71670
6000-E17;Specialstrafferet,6000 - Det Juridiske Fakultet,71669
6000-E17;Specialiseret immaterialret - kendetegnsrettigheder,6000 - Det Juridiske Fakultet,71668
6000-E17;Specialiseret Erstatningsret,6000 - Det Juridiske Fakultet,71667
6000-E17;Socialret - bÃ¸rn og unges sociale rettigheder,6000 - Det Juridiske Fakultet,72053
6000-E17;Socialret,6000 - Det Juridiske Fakultet,71665
6000-E17;Selskabsskatteret,6000 - Det Juridiske Fakultet,71664
6000-E17;Selskabsret,6000 - Det Juridiske Fakultet,71663
"6000-E17;RoboLaw: Law, Robotics and Artificial Intelligence",6000 - Det Juridiske Fakultet,71662
6000-E17;Psykiatriret,6000 - Det Juridiske Fakultet,71661
6000-E17;Processpil i immaterialret,6000 - Det Juridiske Fakultet,71660
6000-E17;Praktisk forfatningsret i en politisk verden,6000 - Det Juridiske Fakultet,71659
6000-E17;Praktisk aftaleret,6000 - Det Juridiske Fakultet,71658
6000-E17;Personskadeerstatning,6000 - Det Juridiske Fakultet,71657
6000-E17;Persondataret,6000 - Det Juridiske Fakultet,71656
6000-E17;OmsÃ¦tning af fast ejendom,6000 - Det Juridiske Fakultet,71655
6000-E17;Offentlige myndigheders erstatningsansvar,6000 - Det Juridiske Fakultet,71654
6000-E17;Offentlig forvaltning,6000 - Det Juridiske Fakultet,71653
6000-E17;Offentlig ansÃ¦ttelsesret,6000 - Det Juridiske Fakultet,71652
6000-E17;Medieret,6000 - Det Juridiske Fakultet,71651
6000-E17;Maritim erstatning og kontrakt,6000 - Det Juridiske Fakultet,71650
6000-E17;Life Science Law,6000 - Det Juridiske Fakultet,71649
6000-E17;Lejeret,6000 - Det Juridiske Fakultet,71648
"6000-E17;Legal, Criminological and Philosophical Perspectives on Mass Atrocity",6000 - Det Juridiske Fakultet,71647
"6000-E17;Laws of Armed Conflict: Rules, Principles, Context",6000 - Det Juridiske Fakultet,71646
6000-E17;Law and Literature,6000 - Det Juridiske Fakultet,71645
6000-E17;Latin for jurister,6000 - Det Juridiske Fakultet,71644
6000-E17;KÃ¸b og salg af virksomheder,6000 - Det Juridiske Fakultet,71643
6000-E17;Konkurrenceret,6000 - Det Juridiske Fakultet,71642
6000-E17;KonfliktmÃ¦gling (mediation),6000 - Det Juridiske Fakultet,71641
6000-E17;Kollektiv Arbejdsret,6000 - Det Juridiske Fakultet,71640
6000-E17;Kapitalmarkedsret,6000 - Det Juridiske Fakultet,71639
6000-E17;Juridisk kommunikation og retorik,6000 - Det Juridiske Fakultet,71638
6000-E17;IT-ret,6000 - Det Juridiske Fakultet,71637
6000-E17;Introduction to EU Law and Institutions,6000 - Det Juridiske Fakultet,71636
6000-E17;Introduction to Danish Law,6000 - Det Juridiske Fakultet,71635
6000-E17;International Transport Law,6000 - Det Juridiske Fakultet,71634
6000-E17;International Taxation,6000 - Det Juridiske Fakultet,71633
6000-E17;International Organizations,6000 - Det Juridiske Fakultet,71632
6000-E17;International Law-Making,6000 - Det Juridiske Fakultet,71631
6000-E17;International Law of the Sea,6000 - Det Juridiske Fakultet,71630
6000-E17;International Law and Security,6000 - Det Juridiske Fakultet,71629
6000-E17;International Investment Law,6000 - Det Juridiske Fakultet,71628
6000-E17;International Human Rights Law,6000 - Det Juridiske Fakultet,71627
6000-E17;International Environmental Law,6000 - Det Juridiske Fakultet,71626
6000-E17;International Criminal Law and Procedure,6000 - Det Juridiske Fakultet,71625
6000-E17;International Commercial Disputes,6000 - Det Juridiske Fakultet,71624
6000-E17;International Commercial Contracts,6000 - Det Juridiske Fakultet,71623
6000-E17;International Commercial Arbitration,6000 - Det Juridiske Fakultet,71622
6000-E17;Insolvensret,6000 - Det Juridiske Fakultet,71621
6000-E17;Innovation og entreprenÃ¸rskab inden for skatte- og afgiftsret,6000 - Det Juridiske Fakultet,71620
6000-E17;Immaterialret,6000 - Det Juridiske Fakultet,71619
6000-E17;Health and Human Rights,6000 - Det Juridiske Fakultet,71618
6000-E17;GrundlÃ¦ggende Skatteret,6000 - Det Juridiske Fakultet,71617
6000-E17;Forsikringsret,6000 - Det Juridiske Fakultet,71616
6000-E17;Bank- og Finansret,6000 - Det Juridiske Fakultet,71615
6000-E17;Finansieringsret,6000 - Det Juridiske Fakultet,71614
6000-E17;Fagfransk,6000 - Det Juridiske Fakultet,71613
6000-E17;Fagengelsk (Legal English),6000 - Det Juridiske Fakultet,71612
6000-E17;EU-Udbudsret,6000 - Det Juridiske Fakultet,71611
6000-E17;European Data Protection Law,6000 - Det Juridiske Fakultet,71610
6000-E17;EU Law - Free Movement and the EMU,6000 - Det Juridiske Fakultet,71609
6000-E17;EU International Relations Law: The External Dimension of European Integration,6000 - Det Juridiske Fakultet,71608
6000-E17;EU Competition Law,6000 - Det Juridiske Fakultet,71606
6000-E17;EU & Global Procurement Regimes,6000 - Det Juridiske Fakultet,71605
6000-E17;Erhvervsstrafferet og myndighedskontrol,6000 - Det Juridiske Fakultet,71604
6000-E17;Entrepriseret,6000 - Det Juridiske Fakultet,71603
6000-E17;Embedsmandsnormer,6000 - Det Juridiske Fakultet,71602
6000-E17;Criminological Theory,6000 - Det Juridiske Fakultet,71601
6000-E17;Corporate Social Responsibility,6000 - Det Juridiske Fakultet,71600
6000-E17;Comparative Corporate Governance,6000 - Det Juridiske Fakultet,71599
6000-E17;Climate change and the Law,6000 - Det Juridiske Fakultet,71598
6000-E17;Civilproces,6000 - Det Juridiske Fakultet,71597
6000-E17;AnsÃ¦ttelsesret,6000 - Det Juridiske Fakultet,71596
"6000-E17;Advanced Legal English: Common Law Language, Reasoning, and Rhetoric",6000 - Det Juridiske Fakultet,71595
6000-E17;Advanced EU Constitutional Law,6000 - Det Juridiske Fakultet,71594
6000-E17;International Institutions and Business,6000 - Det Juridiske Fakultet,71591
4801-F18;KIN Kina-emner (Master Class),4801 - Institut for TvÃ¦rkulturelle og regionale studier,70807
4801-F18;KIN Sprog 4: Klassisk kinesisk,4801 - Institut for TvÃ¦rkulturelle og regionale studier,70806
"4801-F18;KIN Kinesisk Sprog C/Sprog 4: Moderne tekstlÃ¦sning, tekstforstÃ¥else og oversÃ¦ttelse",4801 - Institut for TvÃ¦rkulturelle og regionale studier,70805
4801-F18;KIN Religion og kultur,4801 - Institut for TvÃ¦rkulturelle og regionale studier,70804
4801-F18;KIN Politik og samfund,4801 - Institut for TvÃ¦rkulturelle og regionale studier,70803
"4801-F18;KIN Introduktion til Kinas historie, kultur og samfund 2",4801 - Institut for TvÃ¦rkulturelle og regionale studier,70802
4801-F18;KIN Kinesisk PropÃ¦deutik 2,4801 - Institut for TvÃ¦rkulturelle og regionale studier,70801
4801-F18;JAP War and Peace in Asia in the Twentieth Century,4801 - Institut for TvÃ¦rkulturelle og regionale studier,70800
4801-F18;JAP Japansk sprog D: Klassisk,4801 - Institut for TvÃ¦rkulturelle og regionale studier,70799
4801-F18;JAP Japansk sprog C: Mundtlig kommunikation,4801 - Institut for TvÃ¦rkulturelle og regionale studier,70798
4801-F18;JAP Japansk sprog A: Moderne med sproghistorie,4801 - Institut for TvÃ¦rkulturelle og regionale studier,70797
4801-F18;JAP Introduction to Japanstudies: the history and culture of Japan before 1945,4801 - Institut for TvÃ¦rkulturelle og regionale studier,70796
4801-F18;JAP Japansk propÃ¦deutik 2,4801 - Institut for TvÃ¦rkulturelle og regionale studier,70795
4801-F18;INDO Topics in Indology,4801 - Institut for TvÃ¦rkulturelle og regionale studier,70794
"4801-F18;INDO Sanskrit 3: Shastra-, Kavya- og Darshanalitteratur",4801 - Institut for TvÃ¦rkulturelle og regionale studier,70793
4781-F18;LAT. Latin 2,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70792
4781-F18;KL.GR. GrÃ¦sk 2,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70791
4781-F18;KL.GR./LAT OversÃ¦ttelse af grÃ¦ske og latinske tekter - praksis og teori,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70790
4781-F18;KL.GR./LAT. GrÃ¦ske atleter og helligdomme,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70789
4781-F18;KL.GR. GrÃ¦sk seminar,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70788
4781-F18;OLD/KL.GR./LAT Antikken i europÃ¦isk litteratur,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70787
4781-F18;OLD/KL.GR./LAT GrÃ¦sk-romersk arkÃ¦ologi og kunsthistorie,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70786
4781-F18;OLD. Frit OmrÃ¥de (modul 3),"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70785
4781-F18;MID. BA-tv Latinsk palÃ¦ografi og middelalderens bogkultur,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70784
4781-F18;MID. BA-tv Introduktion til middelalderen II,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70783
4781-F18;LAT. Latinsk seminar,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70782
4781-F18;LAT. Latinsk sprogkundskab,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70781
4781-F18;LAT. Latinsk seminar,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70780
4781-F18;LAT. Antik filosofi og latinsk prosa,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70779
4781-F18;KL.GR. GrÃ¦sk seminar,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70778
